finding,ICD10_code,PFx,PFx_ICD10_code
Adrenal Adenoma,D35.00,"An adrenal adenoma is a small, non-cancerous growth on your adrenal gland, which is a small organ located on top of your kidneys. These growths are usually harmless and don't cause any symptoms. Most people don't even know they have one unless it's found during a scan for something else. The adrenal glands help control things like blood pressure and stress response. If the adenoma is not causing any problems, it often doesn't need treatment. However, your doctor might want to keep an eye on it to make sure it stays that way.",Z13.89
Adrenal Hematoma,E27.8,"An adrenal hematoma is when there is a small collection of blood in the adrenal gland, which is a small organ on top of your kidneys. This can happen due to an injury or sometimes without a clear reason. Most of the time, it doesn't cause any symptoms and might go away on its own. It's like a bruise inside your body. Doctors usually find it by accident when looking at scans for other reasons. It's important to keep an eye on it, but it usually doesn't cause any problems.",R93.8
Adrenal Hyperplasia,E27.0,"Adrenal hyperplasia is when the adrenal glands, which are small organs on top of your kidneys, become larger than normal. These glands make important hormones that help control things like your blood pressure, how your body uses food, and your stress response. When they get bigger, they might make too much or too little of these hormones, which can cause problems. You might feel tired, have high blood pressure, or notice changes in your body. It's important to talk to your doctor about what this means for you and how it can be managed.",R63.8
Adrenal Mass,R93.8,"An adrenal mass is a lump or growth that is found on the adrenal gland, which is a small organ located on top of each kidney. These glands make important hormones that help control things like blood pressure and stress response. Sometimes, these masses are found by accident when you have an imaging test for another reason. Most adrenal masses are not cancerous and do not cause any symptoms. However, it is important to monitor them to make sure they do not grow or cause any problems. Your doctor will guide you on what to do next.",R93.8
Adrenal Cortical Adenoma,D35.00,"An adrenal cortical adenoma is a small, non-cancerous growth on the adrenal gland, which is located on top of your kidneys. These glands help produce important hormones that control things like your metabolism, immune system, and blood pressure. Most of the time, these adenomas don't cause any symptoms and are found by accident during tests for other issues. They are usually harmless and don't need treatment. However, sometimes they can produce extra hormones, which might require further evaluation. It's important to keep an eye on them to ensure they don't cause any problems.",R93.8
Adrenal Hyperfunction,E27.8,"Adrenal hyperfunction means that your adrenal glands, which are small organs on top of your kidneys, are making too many hormones. Hormones are like messengers that tell your body how to work. When there are too many of these hormones, it can cause problems like high blood pressure, weight gain, or feeling very tired. It's important to understand that this is something your doctor can help you manage. They might do some tests to find out more about what's happening and decide the best way to help you feel better.",R63.4
Adrenal Gland Tumor,D44.7,"An adrenal gland tumor is a growth that happens in one of the small glands located on top of your kidneys. These glands are called adrenal glands, and they help your body manage stress and control blood pressure. Sometimes, a tumor can form in these glands. Most of the time, these tumors are not cancerous, which means they don't spread to other parts of the body. However, they can still cause problems by making too many hormones, which can affect how your body works. It's important to talk to your doctor to understand what this means for your health.",R93.8
Adrenal Cyst,E27.8,"An adrenal cyst is a small, fluid-filled sac that forms on the adrenal gland, which is located on top of your kidneys. These cysts are usually not harmful and often don't cause any symptoms. Most people don't even know they have one unless it's found by accident during an imaging test for something else. It's like finding a small bubble on a plant leaf. Doctors usually just keep an eye on it to make sure it doesn't grow or cause any problems. If it stays the same size, there's usually nothing to worry about.",R93.8
Bladder Diverticulum,N32.3,"A bladder diverticulum is like a small pouch that forms in the wall of your bladder. Imagine your bladder as a balloon, and this pouch is like a little bubble sticking out from it. Sometimes, these pouches can make it harder for your bladder to empty all the way when you pee. This might cause you to feel like you need to go to the bathroom more often or have trouble starting to pee. It's important to keep an eye on it because it can sometimes lead to infections or other issues.",R39.15
Bladder Mass,R93.4,"A bladder mass is a growth or lump that has been found in your bladder. The bladder is the organ in your body that holds urine. This mass could be something harmless, like a cyst, or it could be something more serious, like a tumor. It's important to know that not all masses are cancerous. Your doctor will likely want to do more tests to find out exactly what it is. These tests will help them decide the best way to take care of it and keep you healthy.",Z13.89
